title,body,labels
"Fix login button not responding","The login button occasionally does nothing when clicked. Reproduce on the login page and check browser console errors.","bug,authentication"
"Add dark mode","Add a dark mode option and persist the user's preference.","enhancement,ui"
"Update README installation steps","The installation instructions are outdated and should be updated for the latest release.","documentation"
"Improve API error messages","Return clearer error messages when API requests fail validation.","enhancement,api"
"Fix mobile navigation menu","The navigation menu overlaps the page content on small screens.","bug,mobile"
"Add user profile page","Create a profile page showing username, email, avatar, and account information.","enhancement,frontend"
"Fix password reset email","Password reset emails are sometimes not delivered to users.","bug,authentication"
"Add loading indicator","Display a loading spinner while dashboard data is being retrieved.","enhancement,ui"
"Improve database query performance","Optimize slow queries used by the dashboard.","performance,database"
"Fix incorrect date formatting","Dates are displayed differently depending on the user's browser locale.","bug,frontend"
"Add pagination to users list","The users page should support pagination when there are many users.","enhancement,frontend"
"Fix logout redirect","After logout, users should be redirected to the login page.","bug,authentication"
"Add email validation","Validate email addresses before creating a new account.","enhancement,validation"
"Improve 404 page","Create a more helpful page for URLs that do not exist.","enhancement,ui"
"Fix dashboard statistics","Dashboard statistics sometimes show stale values after data changes.","bug,dashboard"
"Add search functionality","Allow users to search records by name and description.","enhancement,search"
"Fix duplicate records","Prevent users from accidentally creating duplicate records.","bug,database"
"Add keyboard shortcuts","Add shortcuts for common actions such as search and navigation.","enhancement,ui"
"Update dependencies","Review and update outdated project dependencies.","maintenance"
"Fix broken avatar images","Some user avatar images fail to load correctly.","bug,frontend"
"Add notification settings","Allow users to control which notifications they receive.","enhancement,settings"
"Improve test coverage","Add automated tests for important application workflows.","testing"
"Fix API timeout handling","Handle API timeouts gracefully and provide a useful error message.","bug,api"
"Add health check endpoint","Create an endpoint that reports application and database health.","enhancement,api"
"Fix form validation messages","Validation messages should appear next to the affected fields.","bug,ui"
"Add CSV export","Allow users to export their data as a CSV file.","enhancement,export"
"Fix sorting on table","Column sorting does not work correctly for numeric values.","bug,frontend"
"Add confirmation before delete","Show a confirmation dialog before permanently deleting records.","enhancement,ui"
"Improve accessibility","Review pages for keyboard navigation and screen reader support.","accessibility"
"Fix session expiration","Users are sometimes logged out unexpectedly while actively using the application.","bug,authentication"
"Add audit logging","Record important user actions for auditing purposes.","enhancement,security"
"Fix API authentication error","Some authenticated API requests incorrectly return 401 responses.","bug,api"
"Add password strength indicator","Show password strength while users create or change passwords.","enhancement,authentication"
"Improve page load speed","Optimize assets and API calls to reduce initial page load time.","performance"
"Fix modal scrolling","Long modal content cannot be scrolled on mobile devices.","bug,mobile"
"Add bulk delete","Allow administrators to select and delete multiple records.","enhancement,admin"
"Fix incorrect permissions","Users can occasionally access pages that should require administrator permissions.","bug,security"
"Add role management","Administrators should be able to create and assign user roles.","enhancement,admin"
"Improve database indexes","Add indexes to frequently queried database columns.","performance,database"
"Fix broken links","Review the application for links that lead to missing pages.","bug"
"Add application version display","Display the current application version in the settings page.","enhancement,ui"
"Fix file upload validation","Reject unsupported file types and files larger than the allowed limit.","bug,validation"
"Add file upload progress","Display upload progress for large files.","enhancement,ui"
"Improve API documentation","Document available endpoints, parameters, and response formats.","documentation,api"
"Fix timezone handling","Ensure timestamps are stored consistently and displayed in the user's timezone.","bug,backend"
"Add rate limiting","Protect public API endpoints against excessive requests.","enhancement,security"
"Fix empty state messages","Pages with no data should display helpful empty state messages.","bug,ui"
"Add retry for failed requests","Automatically retry transient API failures.","enhancement,api"
"Improve logging","Add structured logs for important application events.","enhancement,backend"
"Fix incorrect HTTP status codes","Review API responses and return appropriate HTTP status codes.","bug,api"
"Add integration tests","Create integration tests covering authentication and core API workflows.","testing"
"Fix registration flow","New users occasionally encounter an error during registration.","bug,authentication"
"Add account deletion","Allow users to permanently delete their accounts.","enhancement,settings"
"Improve security headers","Add recommended HTTP security headers to application responses.","security"
"Fix CSRF protection","Review and correct CSRF protection for state-changing requests.","bug,security"
"Add automated backups","Configure automated backups for application data.","enhancement,database"
"Fix database connection errors","Improve handling and recovery of temporary database connection failures.","bug,database"
"Add environment variable documentation","Document all required environment variables for local development.","documentation"
"Improve developer setup","Simplify the process of setting up the project locally.","enhancement,documentation"
"Fix CI pipeline","The CI pipeline fails intermittently during dependency installation.","bug,ci"
"Add linting to CI","Run the project linter automatically in continuous integration.","enhancement,ci"
"Add code formatting check","Ensure pull requests pass automated formatting checks.","enhancement,ci"
"Fix failing unit tests","Several unit tests fail after the latest dependency update.","bug,testing"
"Increase test coverage for authentication","Add tests for login, logout, registration, and password reset.","testing,authentication"
"Add staging environment","Create a separate staging environment for testing releases.","enhancement,infrastructure"
"Improve deployment documentation","Document the deployment process and required configuration.","documentation,deployment"
"Fix deployment configuration","Review production deployment settings and environment variables.","bug,deployment"
"Add Docker support","Provide a Dockerfile and instructions for running the application in containers.","enhancement,infrastructure"
"Improve Docker image size","Reduce unnecessary files and dependencies in the Docker image.","performance,infrastructure"
"Fix container startup","The application container sometimes fails during startup.","bug,infrastructure"
"Add health monitoring","Monitor application health and notify the team about failures.","enhancement,infrastructure"
"Fix memory usage","Investigate increasing memory usage during long-running processes.","bug,performance"
"Optimize image loading","Compress and lazy-load images to improve page performance.","performance,frontend"
"Fix responsive dashboard","Dashboard widgets do not resize correctly on tablet screens.","bug,mobile"
"Add responsive tables","Tables should work properly on mobile and tablet devices.","enhancement,mobile"
"Fix browser compatibility","Resolve layout issues in supported browsers.","bug,frontend"
"Add browser testing","Add automated tests for major supported browsers.","testing"
"Improve error page","Create a consistent error page for unexpected application failures.","enhancement,ui"
"Add global notification system","Create reusable success, warning, and error notifications.","enhancement,ui"
"Fix notification dismissal","Notifications sometimes remain visible after being dismissed.","bug,ui"
"Add user activity history","Display recent account activity to users.","enhancement,frontend"
"Fix activity timestamps","Activity timestamps are not displayed consistently.","bug,frontend"
"Add admin dashboard","Create an administrator dashboard with system statistics.","enhancement,admin"
"Improve admin permissions","Review administrator permission checks across the application.","security,admin"
"Fix search performance","Search becomes slow when the dataset contains many records.","bug,performance"
"Add advanced search filters","Allow users to filter search results by multiple fields.","enhancement,search"
"Fix search case sensitivity","Search should return matching results regardless of letter case.","bug,search"
"Add sorting preferences","Remember the user's selected table sorting preferences.","enhancement,frontend"
"Fix pagination state","Changing pages sometimes resets active filters.","bug,frontend"
"Add API versioning","Introduce versioning for public API endpoints.","enhancement,api"
"Improve API response format","Standardize API success and error response structures.","enhancement,api"
"Fix missing API validation","Some endpoints accept invalid request parameters.","bug,api"
"Add request logging","Log incoming API requests for debugging and monitoring.","enhancement,backend"
"Improve exception handling","Prevent unexpected exceptions from exposing internal details.","security,backend"
"Fix sensitive data in logs","Remove passwords, tokens, and other sensitive values from logs.","bug,security"
"Add secret management","Move production secrets to a secure secret management solution.","security,infrastructure"
"Improve configuration management","Centralize application configuration and validation.","enhancement,backend"
"Fix incorrect default settings","Review default application settings for new installations.","bug,settings"
"Add user preferences","Allow users to customize language, timezone, and display preferences.","enhancement,settings"
"Add localization support","Prepare the application for multiple languages.","enhancement,frontend"
"Fix translation fallback","Missing translations should fall back to the default language.","bug,frontend"
"Improve release process","Document and automate the steps required to publish a release.","enhancement,release"
"Add changelog","Maintain a changelog for application releases.","documentation,release"
"Fix version number","Ensure the displayed application version matches the released version.","bug,release"
"Add contribution guide","Create a CONTRIBUTING.md file with development guidelines.","documentation"
"Add issue templates","Create templates for bug reports and feature requests.","documentation"
"Add pull request template","Create a standard pull request template for contributors.","documentation"
"Improve project documentation","Review documentation and add missing setup and usage information.","documentation"
"Add sample data generator","Create a development utility that generates sample records.","enhancement,development"
"Fix development seed script","The database seed script fails when run on a clean database.","bug,development"
"Add local development instructions","Document how to configure and run the project locally.","documentation,development"
"Improve code organization","Refactor modules to make the project easier to maintain.","refactoring"
"Remove unused code","Identify and remove obsolete functions and dependencies.","maintenance"
"Add automated dependency scanning","Scan dependencies for known security vulnerabilities.","security,ci"
"Fix security vulnerability warnings","Review and address current dependency security warnings.","security,maintenance"
"Improve application startup time","Reduce the time required for the application to start.","performance,backend"
"Add caching","Cache frequently requested data to reduce database load.","enhancement,performance"
"Fix stale cache data","Ensure cached data is invalidated after updates.","bug,performance"
"Add database migration checks","Verify database migrations before deployment.","enhancement,database"
"Improve backup restoration process","Document and test the database restoration procedure.","database,documentation"
"Add release notifications","Notify users when a new application version is available.","enhancement,release"
"Fix release notes formatting","Standardize formatting for generated release notes.","bug,release"
"Add project metrics","Track basic project metrics such as active users and API requests.","enhancement,analytics"
"Improve analytics privacy","Ensure analytics collection does not capture unnecessary personal data.","security,analytics"
"Fix analytics tracking","Some page views are not being recorded correctly.","bug,analytics"
"Add feedback form","Allow users to submit product feedback from within the application.","enhancement,frontend"
"Improve feedback validation","Validate feedback submissions before sending them.","bug,validation"
